transaction_id,zone,section,category,price,stock_level,units_sold,promotion,date
66,Women,Accessories,Accessories,18.46,77,30,No,2025-03-16
67,Men,Sportswear,Sportswear,65.43,40,8,Yes,2025-07-11
68,Kids,Clothing,Tops,33.57,115,33,No,2025-08-12
69,Men,Sportswear,Sportswear,48.59,32,7,Yes,2025-09-30
70,Men,Accessories,Footwear,114.38,105,17,No,2025-06-26
71,Men,Clothing,Tops,19.11,47,23,No,2025-02-21
72,Kids,Accessories,Accessories,12.5,88,12,No,2025-02-22
73,Kids,Accessories,Accessories,13.4,61,35,Yes,2025-08-11
74,Women,Clothing,Tops,54.95,94,27,No,2025-01-09
75,Women,Accessories,Footwear,118.02,26,18,No,2025-06-19
76,Men,Accessories,Accessories,31.19,24,38,Yes,2025-12-05
77,Men,Clothing,Dresses,78.77,90,17,No,2025-03-11
78,Kids,Clothing,Outerwear,105.36,186,12,Yes,2025-01-19
79,Kids,Accessories,Accessories,17.61,145,35,No,2025-11-13
80,Kids,Clothing,Tops,48.57,111,39,No,2025-11-08
81,Men,Accessories,Accessories,38.9,63,22,No,2025-11-13
82,Kids,Clothing,Bottoms,51.11,183,7,No,2025-02-16
83,Men,Clothing,Dresses,47.67,20,7,No,2025-01-12
84,Women,Accessories,Footwear,49.61,136,12,Yes,2025-06-13
85,Women,Accessories,Footwear,92.53,120,13,Yes,2025-05-25
86,Men,Clothing,Outerwear,157.66,176,14,No,2025-09-10
87,Women,Accessories,Accessories,31.77,66,34,No,2025-11-08
88,Women,Accessories,Accessories,11.36,138,33,No,2025-03-06
89,Women,Perfume,Perfume,29.03,104,21,No,2025-04-08
90,Men,Perfume,Perfume,28.03,168,20,Yes,2025-07-16
91,Kids,Clothing,Dresses,84.79,42,9,No,2025-07-21
92,Women,Perfume,Perfume,34.84,97,13,Yes,2025-02-20
93,Men,Clothing,Bottoms,39.15,132,12,No,2025-12-14
94,Kids,Accessories,Accessories,30.15,181,31,No,2025-11-02
95,Men,Accessories,Footwear,90.48,76,21,Yes,2025-10-30
96,Kids,Clothing,Outerwear,134.44,85,12,Yes,2025-07-11
97,Women,Accessories,Footwear,93.09,49,19,No,2025-11-04
98,Men,Accessories,Accessories,33.51,49,32,No,2025-03-22
99,Men,Clothing,Bottoms,48.37,164,14,No,2025-12-06
100,Men,Accessories,Footwear,84.34,145,15,No,2025-04-21
101,Men,Perfume,Perfume,27.68,114,15,Yes,2025-01-08
102,Men,Perfume,Perfume,72.46,174,22,No,2025-02-20
103,Kids,Clothing,Outerwear,101.41,189,14,Yes,2025-11-22
104,Men,Clothing,Outerwear,102.72,65,3,Yes,2025-08-06
105,Men,Perfume,Perfume,22.36,66,19,No,2025-04-17
106,Kids,Accessories,Accessories,10.08,55,10,Yes,2025-12-21
107,Men,Sportswear,Sportswear,36.51,146,18,No,2025-03-19
108,Women,Clothing,Dresses,32.2,75,23,No,2025-04-21
109,Kids,Accessories,Accessories,25.96,37,35,No,2025-01-15
110,Men,Perfume,Perfume,42.64,58,21,Yes,2025-05-06
111,Men,Clothing,Outerwear,131.23,87,11,No,2025-04-19
112,Women,Perfume,Perfume,55.05,53,19,No,2025-08-24
113,Kids,Accessories,Accessories,20.12,199,35,No,2025-11-11
114,Men,Accessories,Accessories,38.01,169,30,Yes,2025-04-22
115,Women,Perfume,Perfume,25.27,113,13,Yes,2025-08-31
116,Kids,Accessories,Accessories,39.47,25,11,No,2025-03-16
117,Kids,Accessories,Footwear,63.21,198,6,No,2025-01-26
118,Kids,Clothing,Bottoms,38.2,173,8,No,2025-08-13
119,Men,Sportswear,Sportswear,31.32,109,18,Yes,2025-10-20
120,Women,Perfume,Perfume,75.92,96,15,No,2025-06-27
121,Women,Clothing,Tops,39.7,149,22,No,2025-03-25
122,Men,Perfume,Perfume,60.89,36,13,No,2025-02-07
123,Kids,Clothing,Dresses,36.4,88,16,No,2025-05-17
124,Women,Perfume,Perfume,23.99,59,12,No,2025-08-17
125,Women,Accessories,Accessories,14.93,24,28,No,2025-03-03
126,Men,Clothing,Dresses,53.55,59,12,No,2025-01-14
127,Kids,Clothing,Dresses,62.39,82,19,No,2025-05-25
128,Men,Perfume,Perfume,43.03,72,12,Yes,2025-02-08
129,Kids,Accessories,Footwear,69.95,198,12,No,2025-01-15
130,Kids,Clothing,Outerwear,124.02,174,5,No,2025-04-07
131,Men,Clothing,Tops,48.48,105,11,No,2025-05-03
132,Women,Clothing,Dresses,79.28,178,19,No,2025-08-04
133,Kids,Clothing,Bottoms,36.0,66,8,No,2025-05-10
134,Kids,Clothing,Tops,46.23,55,35,Yes,2025-03-10
135,Kids,Accessories,Footwear,70.83,153,12,No,2025-12-12
136,Women,Perfume,Perfume,29.2,160,12,No,2025-04-21
137,Kids,Accessories,Footwear,90.86,87,9,No,2025-11-24
138,Kids,Accessories,Accessories,27.29,141,18,No,2025-01-29
139,Women,Clothing,Dresses,84.64,20,18,Yes,2025-12-12
140,Women,Accessories,Accessories,37.63,82,31,No,2025-05-29
141,Kids,Clothing,Outerwear,100.22,199,10,Yes,2025-10-18
142,Kids,Accessories,Accessories,35.91,57,11,No,2025-12-13
143,Men,Sportswear,Sportswear,37.35,127,23,Yes,2025-01-25
144,Kids,Accessories,Footwear,43.05,180,21,No,2025-05-30
145,Women,Accessories,Accessories,25.46,100,29,No,2025-05-28
146,Women,Accessories,Footwear,88.16,123,21,Yes,2025-08-12
147,Men,Accessories,Accessories,22.8,81,39,Yes,2025-10-13
148,Kids,Accessories,Accessories,33.27,194,27,No,2025-04-23
149,Women,Accessories,Footwear,108.88,151,5,No,2025-02-24
150,Kids,Clothing,Bottoms,40.89,129,6,No,2025-03-28
151,Kids,Accessories,Footwear,104.44,112,12,Yes,2025-09-04
152,Kids,Accessories,Accessories,30.16,91,31,No,2025-08-17
153,Kids,Clothing,Outerwear,126.81,27,3,No,2025-03-29
154,Women,Accessories,Accessories,38.88,184,31,Yes,2025-08-11
155,Kids,Accessories,Footwear,41.17,26,5,Yes,2025-05-27
156,Men,Perfume,Perfume,54.98,101,6,No,2025-07-16
157,Kids,Accessories,Accessories,21.39,138,21,No,2025-10-20
158,Women,Accessories,Accessories,23.08,191,12,No,2025-12-08
159,Men,Accessories,Footwear,83.87,147,21,No,2025-07-28
160,Women,Clothing,Bottoms,57.95,44,11,Yes,2025-10-05
161,Kids,Accessories,Footwear,51.9,48,17,No,2025-10-20
162,Kids,Accessories,Footwear,87.67,61,8,No,2025-02-03
163,Men,Clothing,Outerwear,119.7,95,8,Yes,2025-12-08
164,Men,Perfume,Perfume,74.0,153,12,Yes,2025-08-25
165,Men,Clothing,Tops,40.8,164,35,No,2025-07-09
166,Women,Accessories,Footwear,71.85,73,15,Yes,2025-06-30
167,Kids,Accessories,Accessories,21.68,59,20,No,2025-04-23
168,Kids,Clothing,Bottoms,52.66,117,19,No,2025-03-10
169,Men,Accessories,Footwear,88.59,100,17,Yes,2025-07-20
170,Women,Accessories,Accessories,20.33,59,26,No,2025-03-02
171,Kids,Accessories,Footwear,81.37,54,7,Yes,2025-04-18
172,Kids,Accessories,Footwear,93.12,38,9,Yes,2025-11-01
173,Men,Clothing,Dresses,71.43,66,16,No,2025-08-04
174,Kids,Accessories,Accessories,34.2,137,25,No,2025-01-25
175,Women,Clothing,Bottoms,38.85,173,13,No,2025-02-16
176,Women,Perfume,Perfume,79.96,45,11,Yes,2025-04-27
177,Kids,Clothing,Tops,56.6,78,32,No,2025-08-11
178,Women,Perfume,Perfume,47.31,122,21,No,2025-06-01
179,Kids,Accessories,Footwear,83.3,150,9,No,2025-07-02
180,Kids,Accessories,Accessories,19.46,23,38,No,2025-07-29
181,Men,Sportswear,Sportswear,48.47,127,6,Yes,2025-06-19
182,Women,Accessories,Accessories,36.24,160,27,No,2025-08-15
183,Kids,Clothing,Dresses,51.04,81,16,No,2025-08-24
184,Kids,Clothing,Dresses,35.5,122,24,No,2025-06-26
185,Kids,Clothing,Dresses,47.82,87,22,Yes,2025-06-02
186,Men,Clothing,Dresses,32.71,162,21,No,2025-05-20
187,Kids,Accessories,Accessories,33.59,190,37,No,2025-11-15
188,Women,Perfume,Perfume,74.22,172,11,No,2025-02-28
189,Men,Perfume,Perfume,33.83,129,14,Yes,2025-11-09
190,Women,Clothing,Outerwear,174.87,139,7,No,2025-02-23
191,Kids,Clothing,Outerwear,122.19,39,11,No,2025-06-27
192,Women,Accessories,Accessories,14.62,179,12,Yes,2025-04-30
193,Men,Perfume,Perfume,22.09,87,18,No,2025-09-24
194,Men,Sportswear,Sportswear,39.61,48,13,Yes,2025-08-14
195,Women,Clothing,Tops,44.49,24,20,Yes,2025-05-04
196,Kids,Accessories,Footwear,102.61,195,22,Yes,2025-11-12
197,Men,Sportswear,Sportswear,29.19,100,22,No,2025-08-12
198,Women,Clothing,Tops,52.11,75,17,No,2025-12-13
199,Men,Clothing,Outerwear,165.44,166,9,Yes,2025-02-28
200,Kids,Accessories,Accessories,20.02,64,34,No,2025-12-22
201,Kids,Clothing,Dresses,41.35,152,15,No,2025-09-06
202,Kids,Clothing,Tops,15.23,179,20,Yes,2025-02-08
203,Kids,Accessories,Footwear,90.06,96,16,Yes,2025-08-12
204,Men,Accessories,Accessories,39.44,36,17,Yes,2025-07-07
205,Men,Perfume,Perfume,27.71,177,11,No,2025-08-12
206,Women,Perfume,Perfume,43.53,98,9,Yes,2025-07-15
207,Women,Perfume,Perfume,29.98,31,21,No,2025-07-12
208,Women,Accessories,Footwear,44.12,69,18,No,2025-10-12
209,Kids,Clothing,Bottoms,60.33,26,15,No,2025-03-20
210,Kids,Clothing,Dresses,30.06,193,6,No,2025-04-09
211,Men,Clothing,Tops,38.72,48,38,Yes,2025-10-15
212,Women,Perfume,Perfume,60.83,41,15,Yes,2025-12-03
213,Women,Clothing,Outerwear,169.14,120,12,No,2025-05-27
214,Men,Clothing,Tops,29.04,77,37,No,2025-06-11
215,Men,Perfume,Perfume,21.87,44,16,No,2025-07-27
216,Kids,Accessories,Footwear,56.7,164,12,No,2025-06-23
217,Women,Perfume,Perfume,57.57,191,7,Yes,2025-01-15
218,Men,Accessories,Footwear,93.85,145,16,Yes,2025-01-09
219,Women,Clothing,Bottoms,32.57,136,6,No,2025-03-05
220,Men,Clothing,Bottoms,48.58,83,22,No,2025-04-05
221,Women,Perfume,Perfume,61.7,52,10,No,2025-09-24
222,Women,Perfume,Perfume,26.3,164,16,No,2025-06-09
223,Kids,Accessories,Footwear,95.63,167,5,No,2025-08-30
224,Men,Accessories,Accessories,12.64,177,10,No,2025-06-03
225,Women,Perfume,Perfume,27.96,122,18,No,2025-05-23
226,Women,Accessories,Accessories,30.11,123,20,Yes,2025-05-03
227,Women,Clothing,Dresses,67.0,179,13,No,2025-09-21
228,Women,Accessories,Footwear,70.55,146,11,No,2025-07-27
229,Women,Accessories,Footwear,80.71,22,13,Yes,2025-01-14
230,Kids,Accessories,Footwear,93.4,31,17,No,2025-08-31
231,Women,Perfume,Perfume,78.55,119,17,Yes,2025-04-29
232,Men,Perfume,Perfume,22.62,63,22,Yes,2025-07-30
233,Women,Clothing,Bottoms,51.7,78,7,Yes,2025-08-31
234,Kids,Clothing,Outerwear,110.21,116,8,No,2025-12-16
235,Men,Perfume,Perfume,44.95,43,24,No,2025-08-08
236,Women,Accessories,Accessories,25.42,124,13,Yes,2025-12-20
237,Women,Perfume,Perfume,74.04,25,11,Yes,2025-07-05
238,Women,Clothing,Bottoms,45.35,37,12,No,2025-08-13
239,Kids,Accessories,Footwear,76.48,106,14,Yes,2025-11-30
240,Women,Perfume,Perfume,44.78,185,17,No,2025-11-12
241,Men,Perfume,Perfume,55.58,103,6,Yes,2025-05-25
242,Kids,Clothing,Outerwear,107.89,182,6,Yes,2025-06-13
243,Men,Perfume,Perfume,47.23,158,14,Yes,2025-09-27
244,Women,Clothing,Dresses,70.16,124,5,No,2025-09-21
245,Kids,Accessories,Accessories,17.58,137,29,No,2025-04-17
246,Men,Perfume,Perfume,59.83,184,21,No,2025-02-13
247,Kids,Clothing,Dresses,42.35,167,22,No,2025-10-20
248,Women,Clothing,Outerwear,74.65,78,6,Yes,2025-06-28
249,Women,Accessories,Footwear,128.8,62,6,No,2025-10-12
250,Men,Perfume,Perfume,47.28,190,22,No,2025-10-21
251,Kids,Accessories,Footwear,67.71,99,22,Yes,2025-01-08
252,Women,Clothing,Outerwear,147.7,176,7,No,2025-03-27
253,Kids,Accessories,Accessories,35.14,190,19,Yes,2025-05-25
254,Women,Perfume,Perfume,54.24,95,12,No,2025-10-16
255,Men,Perfume,Perfume,76.45,161,20,No,2025-03-31
256,Women,Accessories,Footwear,94.45,82,13,No,2025-03-30
257,Men,Clothing,Outerwear,128.04,87,3,No,2025-05-12
258,Women,Perfume,Perfume,68.47,101,17,No,2025-12-05
259,Men,Perfume,Perfume,42.54,73,11,Yes,2025-05-23
260,Men,Sportswear,Sportswear,58.54,162,23,No,2025-11-01
261,Men,Perfume,Perfume,33.64,30,7,Yes,2025-11-26
262,Women,Accessories,Accessories,21.39,45,17,No,2025-04-27
263,Men,Accessories,Accessories,21.41,67,14,Yes,2025-08-16
264,Kids,Clothing,Bottoms,51.98,65,22,No,2025-01-21
265,Kids,Clothing,Tops,55.35,136,37,No,2025-10-19
266,Kids,Clothing,Tops,23.87,160,31,Yes,2025-11-30
267,Men,Sportswear,Sportswear,39.12,71,18,No,2025-08-27
268,Kids,Accessories,Footwear,48.07,177,22,No,2025-03-18
269,Women,Clothing,Dresses,40.87,114,16,Yes,2025-06-08
270,Kids,Clothing,Bottoms,61.74,61,8,No,2025-09-20
271,Women,Clothing,Bottoms,31.74,125,19,No,2025-04-28
272,Men,Accessories,Footwear,60.53,28,19,No,2025-05-01
273,Men,Accessories,Footwear,109.3,68,9,No,2025-06-01
274,Kids,Accessories,Footwear,100.43,108,22,No,2025-08-30
275,Men,Perfume,Perfume,34.11,127,6,No,2025-05-29
276,Men,Accessories,Footwear,68.1,182,11,No,2025-05-18
277,Men,Accessories,Accessories,27.83,172,11,Yes,2025-09-20
278,Men,Accessories,Accessories,23.28,144,16,No,2025-10-07
279,Women,Perfume,Perfume,56.19,121,14,No,2025-04-19
280,Women,Clothing,Outerwear,131.49,92,9,No,2025-03-11
281,Men,Perfume,Perfume,24.17,68,6,No,2025-01-27
282,Men,Sportswear,Sportswear,73.4,69,7,No,2025-02-27
283,Kids,Accessories,Footwear,44.71,191,6,No,2025-10-18
284,Women,Perfume,Perfume,47.91,27,16,Yes,2025-11-29
285,Men,Perfume,Perfume,65.29,74,20,No,2025-06-07
286,Men,Perfume,Perfume,65.37,164,20,No,2025-01-03
287,Women,Clothing,Tops,32.97,123,31,No,2025-12-26
288,Men,Clothing,Dresses,61.26,169,22,No,2025-10-15
289,Men,Clothing,Bottoms,50.27,161,8,No,2025-04-24
290,Men,Accessories,Accessories,12.63,94,12,No,2025-06-03
291,Women,Perfume,Perfume,29.71,169,15,No,2025-11-12
292,Men,Sportswear,Sportswear,36.47,68,14,No,2025-10-18
293,Women,Accessories,Footwear,104.93,86,20,Yes,2025-01-14
294,Men,Perfume,Perfume,44.18,85,6,Yes,2025-07-25
295,Women,Accessories,Accessories,27.25,73,10,No,2025-09-27
296,Men,Accessories,Footwear,108.83,144,24,No,2025-01-25
297,Men,Clothing,Dresses,34.09,44,19,No,2025-01-12
298,Men,Perfume,Perfume,50.37,165,10,Yes,2025-02-12
299,Women,Accessories,Footwear,72.83,50,23,No,2025-09-23
300,Men,Accessories,Footwear,129.54,178,19,No,2025-03-24
301,Men,Perfume,Perfume,24.48,175,18,Yes,2025-03-21
302,Men,Sportswear,Sportswear,59.83,59,21,Yes,2025-11-04
303,Men,Sportswear,Sportswear,61.06,185,11,No,2025-04-26
304,Kids,Accessories,Footwear,57.52,26,18,Yes,2025-03-27
305,Men,Accessories,Accessories,22.48,168,31,No,2025-05-29
306,Women,Perfume,Perfume,28.23,186,9,Yes,2025-08-01
307,Women,Accessories,Accessories,39.28,101,14,No,2025-06-13
308,Men,Perfume,Perfume,35.95,158,24,Yes,2025-04-27
309,Women,Accessories,Footwear,117.82,131,22,No,2025-08-21
310,Men,Sportswear,Sportswear,72.28,61,14,No,2025-04-15
311,Men,Sportswear,Sportswear,42.35,148,6,No,2025-01-29
312,Men,Accessories,Footwear,43.46,40,15,No,2025-09-21
313,Kids,Accessories,Footwear,60.43,164,17,Yes,2025-03-28
314,Men,Sportswear,Sportswear,27.29,106,15,No,2025-06-01
315,Men,Clothing,Bottoms,59.5,77,18,No,2025-07-30
316,Kids,Clothing,Bottoms,44.19,24,9,No,2025-12-18
317,Women,Accessories,Accessories,12.47,100,17,No,2025-11-25
318,Women,Perfume,Perfume,32.34,68,8,No,2025-03-19
319,Men,Clothing,Outerwear,123.64,133,11,No,2025-05-20
320,Kids,Accessories,Footwear,94.17,179,20,No,2025-08-14
321,Kids,Accessories,Accessories,13.32,165,32,Yes,2025-11-11
322,Women,Accessories,Accessories,14.91,177,29,Yes,2025-10-15
323,Kids,Accessories,Accessories,29.37,141,39,No,2025-09-25
324,Men,Perfume,Perfume,35.13,160,12,No,2025-08-26
325,Kids,Clothing,Bottoms,32.15,105,15,Yes,2025-12-14
326,Men,Clothing,Dresses,36.48,199,22,Yes,2025-03-29
327,Men,Accessories,Accessories,32.75,116,33,No,2025-04-28
328,Kids,Clothing,Outerwear,71.25,127,10,No,2025-04-21
329,Women,Accessories,Footwear,113.06,127,9,No,2025-04-14
330,Kids,Accessories,Footwear,112.01,29,18,No,2025-03-07
331,Men,Sportswear,Sportswear,68.11,183,14,No,2025-02-23
332,Men,Accessories,Footwear,107.46,140,24,No,2025-08-31
333,Kids,Clothing,Dresses,82.6,120,8,No,2025-05-12
334,Women,Accessories,Accessories,14.13,73,17,Yes,2025-07-21
335,Women,Accessories,Footwear,56.32,192,24,No,2025-03-12
336,Men,Accessories,Accessories,11.95,99,35,No,2025-09-11
337,Women,Accessories,Footwear,94.19,79,23,No,2025-07-30
338,Women,Clothing,Bottoms,61.4,136,8,No,2025-06-22
339,Women,Perfume,Perfume,64.13,165,24,Yes,2025-09-08
340,Kids,Clothing,Outerwear,171.97,64,2,No,2025-09-17
341,Kids,Clothing,Tops,33.45,97,37,No,2025-05-17
342,Women,Clothing,Outerwear,127.87,157,3,Yes,2025-04-17
343,Men,Accessories,Footwear,92.78,100,17,No,2025-02-04
344,Women,Accessories,Accessories,21.31,83,14,No,2025-03-15
345,Men,Sportswear,Sportswear,32.34,23,11,No,2025-05-09
346,Men,Sportswear,Sportswear,67.1,193,16,Yes,2025-01-31
347,Men,Sportswear,Sportswear,25.74,171,16,Yes,2025-12-08
348,Kids,Clothing,Tops,55.78,139,19,Yes,2025-07-01
349,Kids,Accessories,Accessories,33.3,63,18,No,2025-07-03
350,Kids,Accessories,Footwear,121.58,40,8,No,2025-01-07
351,Women,Perfume,Perfume,34.21,179,15,No,2025-05-23
352,Kids,Clothing,Dresses,79.67,139,18,No,2025-11-10
353,Men,Accessories,Accessories,29.63,184,33,No,2025-12-11
354,Men,Sportswear,Sportswear,78.2,188,5,Yes,2025-07-15
355,Kids,Accessories,Accessories,35.52,52,26,No,2025-03-02
356,Women,Accessories,Accessories,12.03,105,26,No,2025-07-17
357,Women,Clothing,Dresses,39.95,21,20,Yes,2025-11-26
358,Women,Perfume,Perfume,59.06,105,16,Yes,2025-10-21
359,Kids,Accessories,Accessories,11.56,82,26,Yes,2025-10-04
360,Women,Perfume,Perfume,65.51,135,19,Yes,2025-08-01
361,Kids,Accessories,Footwear,118.35,174,13,No,2025-10-11
362,Women,Clothing,Tops,39.86,150,17,Yes,2025-02-11
363,Kids,Accessories,Accessories,29.7,108,36,No,2025-07-16
364,Kids,Clothing,Bottoms,37.47,27,13,No,2025-03-26
365,Kids,Clothing,Tops,23.81,123,27,Yes,2025-09-25
366,Women,Perfume,Perfume,56.81,128,7,No,2025-12-29
367,Women,Clothing,Bottoms,38.08,27,9,No,2025-06-25
368,Kids,Clothing,Bottoms,61.94,129,23,No,2025-01-12
369,Kids,Accessories,Accessories,39.01,82,22,No,2025-01-21
370,Women,Clothing,Dresses,39.96,121,9,No,2025-12-19
371,Men,Sportswear,Sportswear,73.96,145,9,No,2025-09-22
372,Women,Accessories,Footwear,103.92,191,15,No,2025-12-30
373,Men,Clothing,Bottoms,49.77,150,16,No,2025-10-04
374,Women,Accessories,Accessories,17.2,199,11,No,2025-12-04
375,Women,Perfume,Perfume,59.07,195,21,No,2025-05-19
376,Women,Perfume,Perfume,35.24,52,24,No,2025-03-07
377,Kids,Accessories,Footwear,46.27,186,10,No,2025-05-04
378,Men,Sportswear,Sportswear,29.0,147,7,No,2025-10-30
379,Women,Perfume,Perfume,32.76,76,18,No,2025-02-08
380,Men,Perfume,Perfume,23.55,134,5,No,2025-08-07
381,Kids,Clothing,Tops,32.54,65,15,Yes,2025-11-24
382,Women,Perfume,Perfume,44.77,97,24,Yes,2025-12-10
383,Women,Accessories,Footwear,65.2,195,23,No,2025-10-02
384,Men,Sportswear,Sportswear,25.99,90,18,No,2025-09-08
385,Kids,Clothing,Bottoms,55.4,161,10,Yes,2025-06-13
386,Men,Accessories,Accessories,10.37,139,29,No,2025-07-22
387,Men,Perfume,Perfume,33.58,97,13,Yes,2025-03-09
388,Women,Clothing,Outerwear,131.19,188,9,Yes,2025-07-02
389,Men,Accessories,Accessories,18.56,31,12,Yes,2025-02-19
390,Men,Perfume,Perfume,59.53,67,24,Yes,2025-06-21
391,Men,Clothing,Outerwear,123.03,156,5,No,2025-08-04
392,Men,Sportswear,Sportswear,53.46,194,12,No,2025-03-17
393,Women,Perfume,Perfume,28.25,166,24,No,2025-08-20
394,Men,Perfume,Perfume,46.71,176,23,Yes,2025-12-14
395,Women,Clothing,Tops,44.35,181,36,No,2025-09-14
396,Kids,Accessories,Footwear,120.23,164,16,No,2025-10-10
397,Kids,Accessories,Footwear,127.44,112,17,No,2025-05-22
398,Kids,Accessories,Accessories,24.23,196,22,No,2025-02-18
399,Women,Clothing,Dresses,80.0,167,5,No,2025-12-07
400,Men,Clothing,Bottoms,50.51,126,13,No,2025-02-06
401,Men,Clothing,Outerwear,73.66,70,12,No,2025-02-10
402,Kids,Clothing,Bottoms,58.09,166,15,Yes,2025-02-15
403,Men,Clothing,Bottoms,46.87,95,12,No,2025-04-19
404,Men,Sportswear,Sportswear,41.32,109,11,No,2025-01-08
405,Men,Perfume,Perfume,20.13,177,17,No,2025-06-26
406,Kids,Accessories,Footwear,63.1,87,5,No,2025-03-23
407,Men,Perfume,Perfume,55.78,187,24,No,2025-11-28
408,Women,Perfume,Perfume,41.29,186,6,No,2025-04-15
409,Women,Accessories,Accessories,27.81,29,23,No,2025-04-28
410,Men,Clothing,Tops,54.32,103,15,Yes,2025-01-02
411,Men,Accessories,Accessories,26.02,59,11,Yes,2025-09-25
412,Kids,Clothing,Outerwear,70.13,120,6,No,2025-05-07
413,Kids,Clothing,Tops,51.75,57,37,No,2025-04-17
414,Women,Perfume,Perfume,24.66,92,10,No,2025-07-07
415,Women,Perfume,Perfume,47.01,191,19,No,2025-01-23
416,Kids,Accessories,Footwear,73.41,76,8,No,2025-06-16
417,Women,Clothing,Tops,21.42,75,10,No,2025-05-28
418,Kids,Clothing,Dresses,68.75,182,15,No,2025-05-06
419,Kids,Clothing,Outerwear,141.25,88,9,No,2025-04-26
